GCA_000412225.2	Ashbya aceris (nom. inval.)
GCA_947297635.1	Candida aaseri
GCA_030558135.1	Candida adriatica
GCA_030572135.1	Candida alai
GCA_030569055.1	Candida andamanensis (nom. inval.)
GCA_963924405.1	Candida anglica
GCA_030566955.1	Candida anutae
GCA_001661425.1	Candida arabinofermentans NRRL YB-2248
GCA_030581555.1	Candida argentea
GCA_030674335.1	Candida ascalaphidarum
GCA_030561325.1	Candida atlantica
GCA_030574775.1	Candida atmosphaerica
GCA_030566905.1	Candida aurita
GCA_030563725.1	Candida awuae
GCA_030561725.1	Candida bentonensis
GCA_030564525.1	Candida berthetii
GCA_024734315.1	Candida blankii
GCA_030581595.1	Candida blattariae
GCA_037935595.1	Candida boidinii
GCA_029581775.1	Candida boleticola
GCA_030563665.1	Candida broadrunensis
GCA_030571035.1	Candida buinensis
GCA_030568635.1	Candida caryicola
GCA_030574835.1	Candida cerambycidarum
GCA_030573195.1	Candida chilensis
GCA_030571295.1	Candida citri
GCA_030572275.1	Candida conglobata
GCA_030566895.1	Candida coquimbonensis
GCA_030579075.1	Candida dajiaensis
GCA_030579135.1	Candida danieliae
GCA_030570475.1	Candida dendrica
GCA_030572355.1	Candida dendronema
GCA_030563465.1	Candida diddensiae
GCA_030570855.1	Candida digboiensis
GCA_030579195.1	Candida diospyri
GCA_030580135.1	Candida easanensis
GCA_030582775.1	Candida endomychidarum
GCA_030557985.1	Candida ficus
GCA_030560825.1	Candida fluviatilis
GCA_003707735.2	Candida freyschussii
GCA_030565865.1	Candida friedrichii
GCA_030574815.1	Candida germanica
GCA_030564305.1	Candida glaebosa
GCA_030572315.1	Candida glucosophila
GCA_030582695.1	Candida golubevii
GCA_003708985.3	Candida gorgasii
GCA_030561765.1	Candida hainanensis
GCA_900535975.1	Candida hispaniensis
GCA_030563225.1	Candida hungchunana
GCA_003706695.3	Candida incommunis
GCA_030574155.1	Candida insectalens
GCA_030578955.1	Candida insectamans
GCA_030574895.1	Candida insectorum
GCA_002370145.1	Candida ipomoeae
GCA_943733655.1	Candida jaroonii
GCA_030562945.1	Candida jianshihensis
GCA_030555785.1	Candida kanchanaburiensis
GCA_030563265.1	Candida khao-thaluensis
GCA_030572455.1	Candida koratica (nom. ined.)
GCA_030582815.1	Candida krabiensis
GCA_030563485.1	Candida lessepsii
GCA_030563775.1	Candida loeiensis
GCA_030563415.1	Candida lundiana
GCA_030582855.1	Candida lyxosophila
GCA_030563305.1	Candida maesae (nom. inval.)
GCA_030569175.1	Candida manassasensis
GCA_030557505.1	Candida maris
GCA_030564055.1	Candida mattraensis (nom. inval.)
GCA_030572415.1	Candida membranifaciens
GCA_030559045.1	Candida mesenterica
GCA_030570755.1	Candida methanosorbosa
